Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BOOT1,SW_Push,GT-TC029B-H025-L1N,34.175,26.9,180.0,top
C1,22uF,C_0603_1608Metric,8.6,74.7,180.0,top
C2,100nF,C_0603_1608Metric,8.58,76.3,180.0,top
C3,100nF,C_0603_1608Metric,8.6,73.1,180.0,top
C4,100nF,C_0603_1608Metric,8.625,71.5,180.0,top
C5,100nF,C_0603_1608Metric,25.7,17.0,-90.0,top
C6,100nF,C_0603_1608Metric,9.699997,23.325003,-90.0,top
C7,100nF,C_0603_1608Metric,34.3,88.625,-90.0,top
C8,1uF,C_0603_1608Metric,6.5,29.25,-90.0,top
C9,22uF,C_0603_1608Metric,34.0,35.0,90.0,top
C10,100nF,C_0603_1608Metric,30.0,35.0,90.0,top
C11,22µF,C_0603_1608Metric,28.2,65.275,90.0,top
C12,22uF,C_0603_1608Metric,33.0,50.5,-90.0,top
C13,C_Polarized,CP_Elec_6.3x5.4,6.25,48.25,180.0,top
C14,22uF,C_0603_1608Metric,18.1,17.0,90.0,top
C15,1uF,C_0603_1608Metric,4.899997,26.100003,0.0,top
C16,22µF,C_0603_1608Metric,11.0,56.0,90.0,top
C17,22µF,C_0603_1608Metric,1.75,56.25,-90.0,top
C18,1uF,C_0603_1608Metric,7.999997,23.325003,-90.0,top
C19,22µF,C_0603_1608Metric,14.8,69.175,-90.0,top
C20,22µF,C_0603_1608Metric,15.0,58.375,-90.0,top
C21,22µF,C_0603_1608Metric,14.9,33.8,90.0,top
C22,22µF,C_0603_1608Metric,14.5,45.75,-90.0,top
C23,1uF,C_0603_1608Metric,13.25,28.75,-90.0,top
D1,ALS-PDIC243-3B,ALS-PDIC243-3B,34.325,92.905,180.0,top
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,20.0,70.0,0.0,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,20.0,64.0,0.0,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,20.0,58.0,0.0,top
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,20.0,52.0,0.0,top
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,20.0,46.0,0.0,top
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,20.0,40.0,0.0,top
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,20.0,34.0,0.0,top
D9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,20.0,28.0,0.0,top
Q1,BC817,SOT-23,28.8625,26.9,180.0,top
Q2,BC817,SOT-23,28.8625,30.8,180.0,top
R1,5K1,R_0603_1608Metric,23.0,17.0,90.0,top
R2,5K1,R_0603_1608Metric,20.6,17.0,90.0,top
R3,10K,R_0603_1608Metric,9.5,16.825,-90.0,top
R4,10K,R_0603_1608Metric,13.5,16.825,-90.0,top
R5,10K,R_0603_1608Metric,35.9,88.625,-90.0,top
R6,10K,R_0603_1608Metric,7.5,16.825,-90.0,top
R7,10K,R_0603_1608Metric,11.5,16.825,-90.0,top
R8,10K,R_0603_1608Metric,32.0,35.0,90.0,top
R9,10K,R_0603_1608Metric,26.0,35.0,-90.0,top
R10,10K,R_0603_1608Metric,28.0,35.0,90.0,top
R11,10K,R_0603_1608Metric,27.0,50.5,90.0,top
R12,10K,R_0603_1608Metric,30.0,50.5,-90.0,top
R13,4.7,R_0603_1608Metric,4.25,29.25,90.0,top
RESET1,SW_Push,GT-TC029B-H025-L1N,34.2,30.9,180.0,top
SCD1,SCD30 (CO2),MODULE_SCD30,20.2,78.8975,90.0,bottom
U1,ESP32-WROOM-32D,ESP32-WROOM-32D,16.245,87.0,90.0,top
U2,CH340C,SOIC-16_3.9x9.9mm_P1.27mm,32.0,19.0,0.0,top
U3,PMS7003T,PMS7003,19.96,36.72,90.0,bottom
U4,SGP41-D-R4,XDCR_SGP41-D-R4,10.1,29.3,0.0,top
U5,SGP30,SGP30,12.599997,23.400003,0.0,top
U7,SN74LV1T34DCK,SOT-353_SC-70-5,25.75,71.0,0.0,top
U8,AMS1117-3.3,SOT-223-3_TabPin2,6.4,56.85,270.0,top
U9,TLV70218_SOT23-5,SOT-23-5,4.862497,23.350003,180.0,top
USB1,USB_C_Receptacle,Hanbo Electronic MC-802YC-H100,19.997095,5.025,0.0,bottom
